original_name,pinyin_name,new_filename,mass_kg
chassis\Wangs - chassis-1 外壳-左侧-1 立柱-1.STL,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu__1,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-左侧-1 立柱-2.STL,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu__2,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu__2.stl,0.0001
chassis\Wangs - chassis-1 外壳-左侧-1 立柱套管-1.STL,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__1,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-左侧-1 立柱套管-2.STL,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__2,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__2.stl,0.0001
chassis\Wangs - chassis-1 外壳-左侧-1 立柱套管-3.STL,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__3,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__3.stl,0.0001
chassis\Wangs - chassis-1 外壳-左侧-1 立柱套管-4.STL,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__4,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__4.stl,0.0001
chassis\Wangs - chassis-1 外壳-左侧-1 立柱套管-5.STL,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__5,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__5.stl,0.0001
chassis\Wangs - chassis-1 外壳-左侧-1 立柱套管-6.STL,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__6,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_tao_guan__6.stl,0.0001
chassis\Wangs - chassis-1 外壳-左侧-1 立柱层板垫块侧面-打印-1.STL,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_ceng_ban_dian_kuai_ce_mian___da_yin__1,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_ceng_ban_dian_kuai_ce_mian___da_yin__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-左侧-1 立柱层板垫块侧面-打印-2.STL,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_ceng_ban_dian_kuai_ce_mian___da_yin__2,wangs___chassis_1__wai_ke___zuo_ce__1__li_zhu_ceng_ban_dian_kuai_ce_mian___da_yin__2.stl,0.0001
chassis\Wangs - chassis-1 外壳-正面-1.STL,wangs___chassis_1__wai_ke___zheng_mian__1,wangs___chassis_1__wai_ke___zheng_mian__1.stl,0.0001
